# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653949826372e-10       7.642630363680e-15       2.372392712133e-13       0.000000000000e+00       8.541656520447e-11       8.799305528762e-12      -7.458643253870e-15 
   41       1.678544631118e-10       8.302666305843e-15       2.279862407989e-13       0.000000000000e+00       8.119326041494e-11       8.400794359022e-12      -6.852801209375e-15 
   42       1.703413788228e-10       8.998027058468e-15       2.172974769121e-13       0.000000000000e+00       7.725124858811e-11       8.029879697977e-12      -6.486224618963e-15 
   43       1.728547909059e-10       9.729079499336e-15       2.051939713430e-13       0.000000000000e+00       7.354798528073e-11       7.680449019955e-12      -6.482124160979e-15 
   44       1.753974840639e-10       1.049648846063e-14       1.916442529268e-13       0.000000000000e+00       7.007776475478e-11       7.351576670149e-12      -6.793436296419e-15 
   45       1.779711469302e-10       1.130099613280e-14       1.766001721264e-13       0.000000000000e+00       6.683704639100e-11       7.043027264434e-12      -7.307984327383e-15 
   46       1.805743536206e-10       1.214333796783e-14       1.600103747957e-13       0.000000000000e+00       6.381065494285e-11       6.753486314567e-12      -7.887691968138e-15 
   47       1.832022754296e-10       1.302424289093e-14       1.418199957332e-13       0.000000000000e+00       6.097087345653e-11       6.480475316120e-12      -8.367064644541e-15 
   48       1.858490585453e-10       1.394433474214e-14       1.219760454995e-13       0.000000000000e+00       5.828597497843e-11       6.221143428793e-12      -8.598865152196e-15 
   49       1.885164224706e-10       1.490380325428e-14       1.004460815214e-13       0.000000000000e+00       5.575077809937e-11       5.975104538945e-12      -8.609909484981e-15 
   50       1.912069900543e-10       1.590264069143e-14       7.720427363269e-14       0.000000000000e+00       5.336314617901e-11       5.742254041791e-12      -8.486578644825e-15 
   51       1.939216845579e-10       1.694072781258e-14       5.222615474999e-14       0.000000000000e+00       5.111488553659e-11       5.521922874224e-12      -8.332325927306e-15 
   52       1.966595773744e-10       1.801782904408e-14       2.548860489803e-14       0.000000000000e+00       4.899131994176e-11       5.312837326847e-12      -8.268566096521e-15 
   53       1.994191586566e-10       1.913370338845e-14      -3.029445561484e-15       0.000000000000e+00       4.697589853086e-11       5.113564000947e-12      -8.403022926592e-15 
