#Table1
ra,dec,z
55.0531675060106,0.885874143375771,0.03877712
55.8147588284992,0.998027448709593,0.1001597
56.847420033255,0.875487656254738,0.0393708
57.1013941376159,0.994964083188466,0.03884962
58.0593558135251,1.0092920120905,0.03829079
58.2487545391735,0.911074100469247,0.03801756
81.0517900476276,1.13277158097924,0.02760175
81.6700212391875,1.11040389130349,0.09943488
246.015171970656,-0.902868762939568,0.04652571
242.954822857834,-0.44645743725235,0.08011556
242.719853718851,-0.00542933320134963,0.02894331
242.84436158745,-0.075646653557559,0.06295025
247.966776808433,-0.0907882389381604,0.04672737
197.637626286019,0.303936905622766,0.06274281
238.489209902353,0.688089521656516,0.03862771
241.579548373114,0.738634789154046,0.05541354
243.95880535406,0.834842904544759,0.05615441
244.31423166423,0.779550420046871,0.05587652
244.357721383443,0.758055684234468,0.08418034
245.192691242284,0.783092437249952,0.04733117
245.86289818086,0.826486582671851,0.05630004
246.041950025098,0.739556986200301,0.05620848
247.453535460749,0.814562287473447,0.0720602
237.927604249963,1.15488401449068,0.08945534
238.95211339806,1.20601241788535,0.1002968
242.186566640871,1.07892854544347,0.0277606
242.273332856091,1.0829775692964,0.05533386
242.438397490384,1.17187636394415,0.05555231
242.451059751996,1.08957908403602,0.05591223
242.690510111464,1.21506587557357,0.02796681
243.624402903415,1.16759755084609,0.0286315
243.794163658051,1.1659122579676,0.02809832
244.163171529857,1.20776656809694,0.05537476
184.071996248458,-1.16267420600358,0.08940969
187.086350454125,-1.06759253445683,0.0803081
187.318334219882,-1.06205109825887,0.08042388
187.494543351267,-1.21027405234003,0.08054847
198.968407163701,-1.10544591866967,0.1104805
201.609442347288,-1.14731398748739,0.05511795
201.69044182171,-1.08595345721498,0.06725989
201.811090472462,-1.15290784159203,0.0672106
202.686080350223,-1.15807864287577,0.1107556
203.463073284754,-1.23276239960817,0.04718389
204.201839146719,-1.25026366890261,0.08399642
204.223419011793,-1.09554791607488,0.04685168
204.160084851742,-1.16712185559958,0.04667491
204.388107219911,-1.23971643263818,0.08004843
208.377959137958,-1.05053958944651,0.02337503
208.383220933069,-1.19443320164489,0.02373103
216.372675431366,-1.06617563869442,0.05517551
219.003390998992,-1.13374820029559,0.1049914
219.243563775833,-1.05849705559893,0.07212371
220.225746140327,-1.22721225288075,0.07210886
223.599511185508,-1.12985939023181,0.02314522
225.157131478915,-1.07399886784139,0.111066
226.705619685917,-1.25106658650158,0.07170167
227.224468166883,-1.24867940958006,0.05535876
230.821030351484,-1.04819011094045,0.02789364
239.348224757693,-1.04799106129856,0.05595941
239.427637667954,-1.11463514175359,0.05550607
239.47930933058,-1.15709946322215,0.05555867
239.638584718952,-1.19397253048773,0.05599486
246.70814451923,-1.06298871632202,0.1106227
248.614619718998,-1.06063207653966,0.1104587
183.116524033268,-0.649826210811872,0.09538655
184.033215949679,-0.731164363082433,0.08378816
184.177630721655,-0.796511616557342,0.07192115
184.539376319098,-0.747581904541654,0.08390609
185.167693988242,-0.693346919486092,0.07207152
187.131709925519,-0.812378370622986,0.07184681
189.928052617607,-0.643836998212712,0.07192245
191.330192628836,-0.760445599685824,0.02297334
191.355137794459,-0.782674567023903,0.08000926
191.771141817532,-0.629953226863382,0.08043308
193.761583369374,-0.66348905425209,0.04750877
194.313130312622,-0.657644721490122,0.02310778
194.328434239674,-0.774003025033214,0.0467067
194.723303424963,-0.722345115834633,0.04701507
194.836761547904,-0.639453406385664,0.08037489
196.554898171107,-0.66414693910295,0.08398743
196.612641295605,-0.806040928321794,0.08417733
196.623458914,-0.797385298995016,0.08421105
197.05613828826,-0.632529777162521,0.09564068
199.669770501422,-0.822973476978317,0.04720235
201.093978797126,-0.64940926604503,0.06314352
201.483756145497,-0.70239035023552,0.05567088
201.447351217004,-0.706750867850104,0.0551175
204.96445652791,-0.75307927005417,0.02227835
206.806474060434,-0.671287487417802,0.04749686
209.589670756069,-0.625216818132388,0.02760433
215.371978550736,-0.797497000462392,0.08425979
217.043877251665,-0.684611464671694,0.05517036
218.376002977171,-0.810341463341509,0.05578163
218.363616432797,-0.800619650724619,0.05554468
218.375517781388,-0.831153729201883,0.05591327
218.427367010353,-0.800349155266744,0.05620326
219.90497562089,-0.770377212893527,0.071994
220.085603543927,-0.767797265471991,0.08027805
220.350713938793,-0.751849672593118,0.08001003
222.040215726669,-0.6932707428452,0.02752549
222.08931917429,-0.807537996685349,0.05622832
222.235024668839,-0.727207617417141,0.02807129
222.63254185009,-0.785399337691558,0.1105567
222.650449199396,-0.791918817260466,0.1108053
228.218636635305,-0.778169988536921,0.09939177
231.348654190946,-0.709977947470593,0.0381603
232.714780776667,-0.659616401545455,0.02850763
233.537699676193,-0.747206885106517,0.03942682
233.623945007001,-0.685355113291783,0.08386771
233.820246332188,-0.790027678858922,0.07159798
234.709839482261,-0.629643344903641,0.038931
240.213404768836,-0.720833865436497,0.05611989
240.273572934964,-0.70747441799318,0.05573868
240.941196340227,-0.833416020170994,0.1249975
242.033634021336,-0.745842824491088,0.0625722
242.337311973383,-0.644584436037488,0.1046137
242.415660622357,-0.740491508136809,0.07212562
246.016536634435,-0.763883569837128,0.04644161
246.241260630268,-0.697531115328845,0.0471938
246.285668858173,-0.647835302468196,0.04744472
246.395957811223,-0.747285254322942,0.0473687
247.350105178159,-0.785348781233813,0.05525228
247.921349725112,-0.777305579740711,0.08381232
184.155125999315,-0.248814250481488,0.1249266
184.243768067769,-0.221866526988723,0.07187766
184.260277982875,-0.317627559470468,0.06240619
184.497161439604,-0.333110691963939,0.07144404
184.852447834926,-0.294097392647684,0.03897807
187.523951757604,-0.337353145076907,0.1109741
188.931808117352,-0.223804417694058,0.02313283
189.057837562716,-0.27632498109001,0.02252786
192.386418655324,-0.376572590073972,0.07137965
192.579722933028,-0.401610136477054,0.08415757
192.550036450043,-0.326555823076384,0.08387592
192.637142500245,-0.314159519690173,0.08361237
193.111053435132,-0.234732119204685,0.07152125
194.803599880041,-0.256593607674442,0.04651669
195.0158002702,-0.370944341813226,0.04684436
196.244438828009,-0.380969223478915,0.07150643
196.310971758879,-0.373294920001293,0.02268739
197.183418092043,-0.313628064851184,0.08408642
197.431051689814,-0.224783171980092,0.09544107
197.490872132269,-0.264569215900413,0.09553675
197.475873297188,-0.292799919067771,0.09621955
197.548979579916,-0.210498197259704,0.08408818
197.64775265431,-0.23425067385856,0.08008874
199.870635271906,-0.341805975546495,0.0955038
200.069170166211,-0.309075949800714,0.1102181
201.052029497532,-0.207180320517287,0.055442
201.793298539737,-0.324561957064185,0.1103667
202.050850258734,-0.370940106982931,0.05541164
202.059187342577,-0.395331750596447,0.05530245
202.913330361829,-0.337802259670302,0.05612796
204.08488409237,-0.412822271906921,0.04741794
204.956250994211,-0.33026305112496,0.02243455
205.486783052769,-0.315386189906229,0.08941884
205.492243354703,-0.286498541558277,0.1051612
205.597100852403,-0.233295176895386,0.08952934
205.62254772327,-0.312664138134002,0.08948262
211.108279096688,-0.356155814703674,0.04756837
212.136699451874,-0.23352993738906,0.09566075
214.821966661422,-0.412769222746447,0.03940544
218.091957524809,-0.226700860269075,0.05533594
218.932809257902,-0.387769056342595,0.1045165
221.547555075505,-0.238384865316714,0.07997677
